0,1,2,3,4,5,6,7,8,9,10,11,12
2024-05-19,00,,30 °C,28 °C,—,0 mm,—,,15 km/h,—,1007 hPa,89 %
2024-05-19,01,,29 °C,27.9 °C,—,0 mm,—,,9 km/h,—,1006 hPa,94 %
2024-05-19,02,,28 °C,28 °C,—,0 mm,—,,4 km/h,—,1006 hPa,100 %
2024-05-19,03,,28 °C,28 °C,—,0 mm,—,,6 km/h,—,1006 hPa,100 %
2024-05-19,04,,28 °C,26.9 °C,—,0 mm,—,,6 km/h,—,1006 hPa,94 %
2024-05-19,05,,27 °C,27 °C,—,0 mm,—,,7 km/h,—,1006 hPa,100 %
2024-05-19,06,,28 °C,26.9 °C,—,0 mm,—,,9 km/h,—,1007 hPa,94 %
2024-05-19,07,,29 °C,27.9 °C,—,0 mm,—,,6 km/h,—,1008 hPa,94 %
2024-05-19,08,,29 °C,29 °C,—,0 mm,—,,6 km/h,—,1008 hPa,100 %
2024-05-19,09,,33 °C,27 °C,—,0 mm,—,,7 km/h,—,1008 hPa,71 %
2024-05-19,10,,33 °C,27 °C,—,0 mm,—,,13 km/h,—,1007 hPa,71 %
2024-05-19,11,,34 °C,26 °C,—,0 mm,—,,15 km/h,—,1007 hPa,63 %
2024-05-19,12,,34 °C,24 °C,—,0 mm,—,,15 km/h,—,1006 hPa,56 %
2024-05-19,13,,35 °C,24 °C,—,0 mm,—,,15 km/h,—,1005 hPa,53 %
2024-05-19,14,,34 °C,24 °C,—,0 mm,—,,13 km/h,—,1004 hPa,56 %
2024-05-19,15,,34 °C,24 °C,—,4.5 mm,—,,15 km/h,—,1003 hPa,56 %
2024-05-19,16,,34 °C,25.1 °C,—,1.4 mm,—,,17 km/h,—,1003 hPa,60 %
2024-05-19,17,,33 °C,26.1 °C,—,0.7 mm,—,,9 km/h,—,1003 hPa,67 %
2024-05-19,18,,32 °C,26.1 °C,—,0 mm,—,,7 km/h,—,1004 hPa,71 %
2024-05-19,19,,32 °C,28.1 °C,—,0 mm,—,,11 km/h,—,1004 hPa,80 %
2024-05-19,20,,31 °C,26 °C,—,0 mm,—,,15 km/h,—,1005 hPa,75 %
2024-05-19,21,,30 °C,27 °C,—,0 mm,—,,7 km/h,—,1006 hPa,84 %
2024-05-19,22,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1006 hPa,89 %
2024-05-19,23,,30 °C,28 °C,—,0.5 mm,—,,9 km/h,—,1007 hPa,89 %
2024-05-20,00,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1006 hPa,89 %
2024-05-20,01,,30 °C,28 °C,—,0 mm,—,,7 km/h,—,1005 hPa,89 %
2024-05-20,02,,30 °C,28 °C,—,0 mm,—,,9 km/h,—,1005 hPa,89 %
2024-05-20,03,,29 °C,27.9 °C,—,0 mm,—,,7 km/h,—,1005 hPa,94 %
2024-05-20,04,,29 °C,27.9 °C,—,0.1 mm,—,,2 km/h,—,1006 hPa,94 %
2024-05-20,05,,29 °C,27.9 °C,—,0 mm,—,,9 km/h,—,1006 hPa,94 %
2024-05-20,06,,27 °C,26 °C,—,0 mm,—,,19 km/h,—,1008 hPa,94 %
2024-05-20,07,,27 °C,26 °C,—,0 mm,—,,9 km/h,—,1008 hPa,94 %
2024-05-20,08,,27 °C,27 °C,—,0 mm,—,,9 km/h,—,1008 hPa,100 %
2024-05-20,09,,30 °C,28 °C,—,0.2 mm,—,,6 km/h,—,1008 hPa,89 %
2024-05-20,10,,32 °C,27 °C,—,0 mm,—,,7 km/h,—,1007 hPa,75 %
2024-05-20,11,,33 °C,27 °C,—,0.1 mm,—,,7 km/h,—,1007 hPa,71 %
2024-05-20,12,,34 °C,26 °C,—,0 mm,—,,9 km/h,—,1005 hPa,63 %
2024-05-20,13,,35 °C,24.9 °C,—,0 mm,—,,13 km/h,—,1005 hPa,56 %
2024-05-20,14,,36 °C,24.9 °C,—,4.2 mm,—,,13 km/h,—,1004 hPa,53 %
2024-05-20,15,,36 °C,24.9 °C,—,1.1 mm,—,,13 km/h,—,1003 hPa,53 %
2024-05-20,16,,36 °C,24.9 °C,—,0 mm,—,,13 km/h,—,1002 hPa,53 %
2024-05-20,17,,29 °C,27.9 °C,—,0 mm,—,,24 km/h,—,1003 hPa,94 %
2024-05-20,18,,29 °C,27.9 °C,—,0.4 mm,—,,11 km/h,—,1005 hPa,94 %
2024-05-20,19,,28 °C,26.9 °C,—,0 mm,—,,15 km/h,—,1006 hPa,94 %
2024-05-20,20,,28 °C,26.9 °C,—,0 mm,—,,15 km/h,—,1007 hPa,94 %
2024-05-20,21,,28 °C,26.9 °C,—,0.2 mm,—,,15 km/h,—,1007 hPa,94 %
2024-05-20,22,,27 °C,27 °C,—,0 mm,—,,11 km/h,—,1008 hPa,100 %
2024-05-20,23,,27 °C,26 °C,—,0 mm,—,,22 km/h,—,1009 hPa,94 %
2024-05-21,00,,26 °C,26 °C,—,2.1 mm,—,,24 km/h,—,1009 hPa,100 %
2024-05-21,01,,26 °C,25 °C,—,0.5 mm,—,,13 km/h,—,1007 hPa,94 %
2024-05-21,02,,26 °C,25 °C,—,0 mm,—,,4 km/h,—,1006 hPa,94 %
2024-05-21,03,,26 °C,26 °C,—,0 mm,—,,4 km/h,—,1007 hPa,100 %
2024-05-21,04,,26 °C,26 °C,—,0 mm,—,,4 km/h,—,1007 hPa,100 %
2024-05-21,05,,26 °C,26 °C,—,0 mm,—,,2 km/h,—,1007 hPa,100 %
2024-05-21,06,,26 °C,25 °C,—,0 mm,—,,24 km/h,—,1009 hPa,94 %
2024-05-21,07,,26 °C,25 °C,—,0 mm,—,,20 km/h,—,1009 hPa,94 %
2024-05-21,08,,26 °C,25 °C,—,1 mm,—,,13 km/h,—,1009 hPa,94 %
2024-05-21,09,,29 °C,26 °C,—,0 mm,—,,4 km/h,—,1009 hPa,84 %
2024-05-21,10,,32 °C,26.1 °C,—,3.1 mm,—,,2 km/h,—,1008 hPa,71 %
